pre_date,pre_ch,current_date,project_id,interval
2021-07-06 11:00:00,2158.639,2022-08-18 20:30:50,0,1H
2021-07-06 12:00:00,1649.0199,2022-08-18 20:30:50,0,1H
2021-07-06 13:00:00,1858.8241,2022-08-18 20:30:50,0,1H
2021-07-06 14:00:00,1947.463,2022-08-18 20:30:50,0,1H
2021-07-06 16:00:00,2188.4946,2022-08-18 20:30:50,0,1H
2021-07-06 17:00:00,1778.9061,2022-08-18 20:30:50,0,1H
2021-07-06 18:00:00,2161.122,2022-08-18 20:30:50,0,1H
2021-07-13 07:00:00,1914.54,2022-08-18 20:30:50,0,1H
2021-07-13 08:00:00,1897.787,2022-08-18 20:30:50,0,1H
2021-07-13 09:00:00,1902.3259,2022-08-18 20:30:50,0,1H
2021-07-13 10:00:00,1882.6827,2022-08-18 20:30:50,0,1H
2021-07-13 12:00:00,2085.6414,2022-08-18 20:30:50,0,1H
2021-07-13 13:00:00,1997.9591,2022-08-18 20:30:50,0,1H
2021-07-13 15:00:00,1911.3362,2022-08-18 20:30:50,0,1H
2021-07-13 16:00:00,2057.067,2022-08-18 20:30:50,0,1H
2021-07-15 07:00:00,1851.1963,2022-08-18 20:30:50,0,1H
2021-07-15 08:00:00,1953.5797,2022-08-18 20:30:50,0,1H
2021-07-15 09:00:00,1904.0283,2022-08-18 20:30:50,0,1H
2021-07-15 11:00:00,1908.7843,2022-08-18 20:30:50,0,1H
2021-07-15 12:00:00,1989.8008,2022-08-18 20:30:50,0,1H
2021-07-15 13:00:00,1944.4598,2022-08-18 20:30:50,0,1H
2021-07-15 14:00:00,2187.5461,2022-08-18 20:30:50,0,1H
2021-07-15 16:00:00,1796.9254,2022-08-18 20:30:50,0,1H
2021-07-16 07:00:00,1688.5475,2022-08-18 20:30:50,0,1H
2021-07-16 08:00:00,1633.0337,2022-08-18 20:30:50,0,1H
2021-07-16 10:00:00,1906.6486,2022-08-18 20:30:50,0,1H
2021-07-16 11:00:00,2006.4641,2022-08-18 20:30:50,0,1H
2021-07-16 12:00:00,1946.1534,2022-08-18 20:30:50,0,1H
2021-07-16 13:00:00,2085.1284,2022-08-18 20:30:50,0,1H
2021-07-16 14:00:00,1906.135,2022-08-18 20:30:50,0,1H
2021-07-16 15:00:00,2163.5417,2022-08-18 20:30:50,0,1H
2021-07-16 16:00:00,2113.097,2022-08-18 20:30:50,0,1H
2021-07-16 17:00:00,1872.4138,2022-08-18 20:30:50,0,1H
2021-07-16 18:00:00,1928.1594,2022-08-18 20:30:50,0,1H
2021-07-20 07:00:00,1735.8807,2022-08-18 20:30:50,0,1H
2021-07-20 08:00:00,2006.3201,2022-08-18 20:30:50,0,1H
2021-07-20 10:00:00,1858.5562,2022-08-18 20:30:50,0,1H
2021-07-20 11:00:00,2331.1384,2022-08-18 20:30:50,0,1H
2021-07-20 12:00:00,1981.1512,2022-08-18 20:30:50,0,1H
2021-07-20 15:00:00,2312.1536,2022-08-18 20:30:50,0,1H
2021-07-20 16:00:00,2377.4263,2022-08-18 20:30:50,0,1H
